Country,Morally acceptable,Morally unacceptable,Not a moral issue,Depends on the situation (Volunteered),DK/Refused,Total
United States,32,16,46,4,1,100
Canada,31,9,57,2,1,100
Britain,38,9,47,5,2,100
France,25,18,56,1,0,100
Germany,41,14,40,4,2,100
Italy,15,27,49,6,3,100
Spain,27,22,46,4,1,100
Greece,22,23,47,8,0,100
Poland,37,17,34,10,2,100
Czech Republic,46,22,24,7,2,100
Russia,26,44,13,15,2,100
Turkey,10,69,17,2,2,100
Egypt,5,75,13,5,3,100
Jordan,3,85,12,0,0,100
Lebanon,25,51,21,1,2,100
Palest. ter.,1,89,9,0,1,100
Tunisia,5,85,6,3,1,100
Israel,27,29,39,5,1,100
Australia,36,10,46,7,1,100
China,12,41,37,7,4,100
Indonesia,2,85,8,4,0,100
Japan,66,6,25,2,1,100
Malaysia,10,70,15,4,1,100
Pakistan,1,94,2,2,1,100
Philippines,34,39,24,2,0,100
South Korea,34,22,35,9,0,100
Argentina,26,42,27,3,1,100
Bolivia,13,69,12,5,1,100
Brazil,29,47,20,3,0,100
Chile,29,31,31,6,2,100
El Salvador,8,82,8,2,0,100
Mexico,21,41,31,4,3,100
Venezuela,36,39,17,7,1,100
Ghana,8,80,8,3,0,100
Kenya,9,59,24,7,0,100
Nigeria,6,68,17,7,1,100
Senegal,9,63,24,3,1,100
South Africa,22,36,25,13,4,100
Uganda,19,57,14,8,1,100
India,10,66,16,4,4,100
