Date,Brand,City,State,Odometer,MPG
2/22/2013,Texaco,Mariposa,CA,245,NA
2/24/2013,Chevron,Berkeley,CA,707,48.75
3/8/2013,Chevron,Tahoe City,CA,1028,39.45
3/12/2013,Chevron,Meyers,CA,1430,47.05
4/8/2013,Chevron,San Rafael,CA,1871,53.09
4/26/2013,Chevron,Berkeley,CA,2088,45.55
4/27/2013,Chevron,Tehachapi,CA,2434,51.8
4/28/2013,Chevron,Hurricane,UT,2812,52.54
5/1/2013,Chevron,Bryce,UT,2934,DNF
5/4/2013,Texaco,Scipio,UT,3292,49
5/4/2013,Chevron,Ely,NV,3501,48.45
5/5/2013,Chevron,Colfax,CA,3910,52.18
5/24/2013,Chevron,Vacaville,CA,4197,50.7
5/25/2013,Chevron,Roseburg,OR,4582,46.54
5/27/2013,Texaco,Crescent City,CA,4954,47.59
5/29/2013,Chevron,Berkeley,CA,5350,44.03
6/5/2013,Chevron,Berkeley,CA,5716,52.81
6/14/2013,Chevron,Berkeley,CA,6191,57.61
6/22/2013,Chevron,Berkeley,CA,6721,56.61
7/1/2013,Chevron,Berkeley,CA,7162,55.11
7/9/2013,Chevron,Berkeley,CA,7606,55.36
7/13/2013,Chevron,Berkeley,CA,7937,56.8
7/20/2013,Chevron,Berkeley,CA,8364,55.93
7/29/2013,Chevron,Berkeley,CA,8897,55.73
8/4/2013,Chevron,Berkeley,CA,9191,56.17
8/20/2013,Chevron,Berkeley,CA,9678,53.69
8/23/2013,Texaco,Mariposa,CA,9871,52.96
